"Path 1","Path 2","Path 3","Path 4","Path 5","Path 6","URLs","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https/","","","","","","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","www.bidayalab.com/","","","","","25","https://www.bidayalab.com/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Digital Transformation Agency for SMEs | AI & Web Solutions | BidayaLab","71","646","We help ambitious startups and SMEs scale with AI automation, custom web development, and visual storytelling. Let's build your digital future together.","152","939","digital transformation agency,AI automation for business,web development for startups,SME digital solutions,business automation services,custom web development agency,AI chatbot development,startup web agency,digital growth partner,BidayaLab","241","Your Strategic Partner for Digital Transformation.","50","Let's Scale Your Business.","26","Selected Case Studies.","22","Latest Insights.","16","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","https://bidayalab.com/","","","","","","72079","13837","13837","5.301","","481","118","4.076","56.714","Fairly Hard","4.547","0","0","","3","1","0","50.000","7","3","0","0","0","0","","","","","cfcf55910580699fb6e7d70297b054e8","0.102","","","","","en","1.1","","","","","","https://www.bidayalab.com/","2026-02-26 13:35:46"
"","","_next/","","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","static/","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","chunks/","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","app/","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","lucide-icons-ad488651c7c03193.js","1","https://www.bidayalab.com/_next/static/chunks/lucide-icons-ad488651c7c03193.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.311","Thu, 26 Feb 2026 13:35:31 GMT","","","","","1.1","","","","","","https://www.bidayalab.com/_next/static/chunks/lucide-icons-ad488651c7c03193.js","2026-02-26 13:35:49"
"","","","","","300-a33d76ceb1b66774.js","1","https://www.bidayalab.com/_next/static/chunks/300-a33d76ceb1b66774.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.148","Thu, 26 Feb 2026 13:35:31 GMT","","","","","1.1","","","","","","https://www.bidayalab.com/_next/static/chunks/300-a33d76ceb1b66774.js","2026-02-26 13:35:49"
"","","","","","webpack-78d04a5269d2b845.js","1","https://www.bidayalab.com/_next/static/chunks/webpack-78d04a5269d2b845.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.076","Thu, 26 Feb 2026 13:35:31 GMT","","","","","1.1","","","","","","https://www.bidayalab.com/_next/static/chunks/webpack-78d04a5269d2b845.js","2026-02-26 13:35:50"
"","","","","","framer-motion-55633cfe181d8a89.js","1","https://www.bidayalab.com/_next/static/chunks/framer-motion-55633cfe181d8a89.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.156","Thu, 26 Feb 2026 13:35:31 GMT","","","","","1.1","","","","","","https://www.bidayalab.com/_next/static/chunks/framer-motion-55633cfe181d8a89.js","2026-02-26 13:35:50"
